contig	file	gi_count	gi_length	genome_length	num_mapped_reads
GOV_bin_2749_contig-100_0	GOV_bin_2749_contig-100_0.windows.csv.gz	1	410	21722	1136
GOV_bin_2775_contig-100_1	GOV_bin_2775_contig-100_1.windows.csv.gz	6	3611	15680	939
GOV_bin_2833_contig-100_3	GOV_bin_2833_contig-100_3.windows.csv.gz	4	5161	13270	1521
GOV_bin_2888_contig-100_0	GOV_bin_2888_contig-100_0.windows.csv.gz	4	6156	17939	1130
GOV_bin_2888_contig-100_1	GOV_bin_2888_contig-100_1.windows.csv.gz	3	2650	13397	2288
GOV_bin_2888_contig-100_2	GOV_bin_2888_contig-100_2.windows.csv.gz	3	1088	12261	1644
GOV_bin_2910_contig-100_0	GOV_bin_2910_contig-100_0.windows.csv.gz	9	15617	47601	4240
GOV_bin_2910_contig-100_3	GOV_bin_2910_contig-100_3.windows.csv.gz	5	2851	20649	510
GOV_bin_2910_contig-100_4	GOV_bin_2910_contig-100_4.windows.csv.gz	2	674	16912	4967
GOV_bin_2912_contig-100_6	GOV_bin_2912_contig-100_6.windows.csv.gz	5	2782	12640	1369
GOV_bin_2969_contig-100_0	GOV_bin_2969_contig-100_0.windows.csv.gz	5	3131	27296	2345
GOV_bin_3005_contig-100_2	GOV_bin_3005_contig-100_2.windows.csv.gz	3	1825	10369	688
GOV_bin_3024_contig-100_0	GOV_bin_3024_contig-100_0.windows.csv.gz	4	8138	36653	4437
GOV_bin_3024_contig-100_1	GOV_bin_3024_contig-100_1.windows.csv.gz	9	6679	33440	4194
GOV_bin_3028_contig-100_0	GOV_bin_3028_contig-100_0.windows.csv.gz	13	9542	60082	5530
GOV_bin_3028_contig-100_1	GOV_bin_3028_contig-100_1.windows.csv.gz	8	3968	31169	2797
GOV_bin_3028_contig-100_2	GOV_bin_3028_contig-100_2.windows.csv.gz	6	3126	24604	1829
GOV_bin_3028_contig-100_3	GOV_bin_3028_contig-100_3.windows.csv.gz	4	2128	15809	2354
GOV_bin_3040_contig-100_0	GOV_bin_3040_contig-100_0.windows.csv.gz	7	4634	23053	6649
GOV_bin_3069_contig-100_1	GOV_bin_3069_contig-100_1.windows.csv.gz	1	363	10439	5945
GOV_bin_3079_contig-100_4	GOV_bin_3079_contig-100_4.windows.csv.gz	5	2759	13120	629
GOV_bin_3114_contig-100_2	GOV_bin_3114_contig-100_2.windows.csv.gz	3	1293	14695	451
GOV_bin_3135_contig-100_0	GOV_bin_3135_contig-100_0.windows.csv.gz	5	6307	20926	7697
GOV_bin_3139_contig-100_0	GOV_bin_3139_contig-100_0.windows.csv.gz	6	3266	17377	1301
GOV_bin_3139_contig-100_1	GOV_bin_3139_contig-100_1.windows.csv.gz	4	3802	17300	2057
GOV_bin_318_contig-100_0	GOV_bin_318_contig-100_0.windows.csv.gz	0	0	10585	878
GOV_bin_318_contig-100_1	GOV_bin_318_contig-100_1.windows.csv.gz	2	927	10417	876
GOV_bin_3207_contig-100_1	GOV_bin_3207_contig-100_1.windows.csv.gz	2	959	14569	977
GOV_bin_3209_contig-100_5	GOV_bin_3209_contig-100_5.windows.csv.gz	5	3834	16927	908
GOV_bin_3209_contig-100_6	GOV_bin_3209_contig-100_6.windows.csv.gz	3	2399	10956	828
GOV_bin_3227_contig-100_0	GOV_bin_3227_contig-100_0.windows.csv.gz	8	4090	17648	1821
GOV_bin_3265_contig-100_2	GOV_bin_3265_contig-100_2.windows.csv.gz	4	1668	15949	1173
GOV_bin_3308_contig-100_0	GOV_bin_3308_contig-100_0.windows.csv.gz	19	16982	66850	2468
GOV_bin_3312_contig-100_1	GOV_bin_3312_contig-100_1.windows.csv.gz	3	2412	14489	830
GOV_bin_3312_contig-100_2	GOV_bin_3312_contig-100_2.windows.csv.gz	2	1535	13488	17210
GOV_bin_3312_contig-100_3	GOV_bin_3312_contig-100_3.windows.csv.gz	0	0	11132	741
GOV_bin_3336_contig-100_1	GOV_bin_3336_contig-100_1.windows.csv.gz	6	2677	26889	11528
GOV_bin_3336_contig-100_5	GOV_bin_3336_contig-100_5.windows.csv.gz	2	1838	10048	843
GOV_bin_3340_contig-100_5	GOV_bin_3340_contig-100_5.windows.csv.gz	5	2932	16335	1113
GOV_bin_3349_contig-100_1	GOV_bin_3349_contig-100_1.windows.csv.gz	11	8306	27465	1432
GOV_bin_3352_contig-100_3	GOV_bin_3352_contig-100_3.windows.csv.gz	3	1770	10316	2294
GOV_bin_3354_contig-100_0	GOV_bin_3354_contig-100_0.windows.csv.gz	2	1299	10633	358
GOV_bin_3366_contig-100_0	GOV_bin_3366_contig-100_0.windows.csv.gz	7	8552	25327	940
GOV_bin_3366_contig-100_1	GOV_bin_3366_contig-100_1.windows.csv.gz	7	4880	18665	1093
GOV_bin_3385_contig-100_0	GOV_bin_3385_contig-100_0.windows.csv.gz	1	387	14872	710
GOV_bin_3397_contig-100_0	GOV_bin_3397_contig-100_0.windows.csv.gz	6	2811	15509	1439
GOV_bin_3397_contig-100_3	GOV_bin_3397_contig-100_3.windows.csv.gz	0	0	10985	1222
GOV_bin_340_contig-100_1	GOV_bin_340_contig-100_1.windows.csv.gz	1	3038	10091	3343
GOV_bin_3404_contig-100_2	GOV_bin_3404_contig-100_2.windows.csv.gz	5	1457	11910	495
GOV_bin_3459_contig-100_14	GOV_bin_3459_contig-100_14.windows.csv.gz	6	5061	15160	2733
GOV_bin_3471_contig-100_0	GOV_bin_3471_contig-100_0.windows.csv.gz	2	1525	13220	972
GOV_bin_3471_contig-100_1	GOV_bin_3471_contig-100_1.windows.csv.gz	2	308	10758	762
GOV_bin_3484_contig-100_1	GOV_bin_3484_contig-100_1.windows.csv.gz	4	2764	14041	2063
GOV_bin_3486_contig-100_2	GOV_bin_3486_contig-100_2.windows.csv.gz	3	2457	10441	606
GOV_bin_3491_contig-100_3	GOV_bin_3491_contig-100_3.windows.csv.gz	2	1042	10895	534
GOV_bin_3492_contig-100_1	GOV_bin_3492_contig-100_1.windows.csv.gz	0	0	10101	578
GOV_bin_3518_contig-100_1	GOV_bin_3518_contig-100_1.windows.csv.gz	2	1564	14888	647
GOV_bin_3529_contig-100_0	GOV_bin_3529_contig-100_0.windows.csv.gz	7	12881	36378	12136
GOV_bin_3530_contig-100_0	GOV_bin_3530_contig-100_0.windows.csv.gz	6	2337	64676	8285
GOV_bin_3564_contig-100_0	GOV_bin_3564_contig-100_0.windows.csv.gz	6	2360	17921	437
GOV_bin_3611_contig-100_0	GOV_bin_3611_contig-100_0.windows.csv.gz	5	2003	23350	3043
GOV_bin_3611_contig-100_1	GOV_bin_3611_contig-100_1.windows.csv.gz	2	784	16328	2621
GOV_bin_3611_contig-100_2	GOV_bin_3611_contig-100_2.windows.csv.gz	2	2082	12099	1693
GOV_bin_3611_contig-100_3	GOV_bin_3611_contig-100_3.windows.csv.gz	1	288	10530	3291
GOV_bin_3613_contig-100_0	GOV_bin_3613_contig-100_0.windows.csv.gz	2	2034	15094	4634
GOV_bin_3621_contig-100_0	GOV_bin_3621_contig-100_0.windows.csv.gz	3	1524	33822	1306
GOV_bin_3630_contig-100_4	GOV_bin_3630_contig-100_4.windows.csv.gz	1	540	10790	312
GOV_bin_3646_contig-100_12	GOV_bin_3646_contig-100_12.windows.csv.gz	2	308	10067	1068
GOV_bin_3658_contig-100_0	GOV_bin_3658_contig-100_0.windows.csv.gz	2	731	13000	23761
GOV_bin_3658_contig-100_1	GOV_bin_3658_contig-100_1.windows.csv.gz	2	2004	10303	9245
GOV_bin_3707_contig-100_1	GOV_bin_3707_contig-100_1.windows.csv.gz	4	2764	16075	551
GOV_bin_3712_contig-100_0	GOV_bin_3712_contig-100_0.windows.csv.gz	6	7834	23508	10894
GOV_bin_3713_contig-100_1	GOV_bin_3713_contig-100_1.windows.csv.gz	3	1462	10279	455
GOV_bin_3717_contig-100_0	GOV_bin_3717_contig-100_0.windows.csv.gz	6	3628	43800	4228
GOV_bin_372_contig-100_3	GOV_bin_372_contig-100_3.windows.csv.gz	3	3179	10405	3180
GOV_bin_3748_contig-100_0	GOV_bin_3748_contig-100_0.windows.csv.gz	0	0	21503	2463
GOV_bin_3810_contig-100_3	GOV_bin_3810_contig-100_3.windows.csv.gz	5	3282	12614	1171
GOV_bin_3816_contig-100_0	GOV_bin_3816_contig-100_0.windows.csv.gz	4	1714	13024	380
GOV_bin_3816_contig-100_1	GOV_bin_3816_contig-100_1.windows.csv.gz	0	0	10726	1170
GOV_bin_3895_contig-100_1	GOV_bin_3895_contig-100_1.windows.csv.gz	0	0	13177	870
GOV_bin_39_contig-100_1	GOV_bin_39_contig-100_1.windows.csv.gz	4	3348	11124	2013
GOV_bin_3923_contig-100_1	GOV_bin_3923_contig-100_1.windows.csv.gz	8	2818	16563	467
GOV_bin_3925_contig-100_1	GOV_bin_3925_contig-100_1.windows.csv.gz	2	2228	10118	712
GOV_bin_3949_contig-100_0	GOV_bin_3949_contig-100_0.windows.csv.gz	4	3282	32870	2455
GOV_bin_3949_contig-100_1	GOV_bin_3949_contig-100_1.windows.csv.gz	5	3086	18806	1287
GOV_bin_3962_contig-100_0	GOV_bin_3962_contig-100_0.windows.csv.gz	12	10067	47466	3311
GOV_bin_3970_contig-100_2	GOV_bin_3970_contig-100_2.windows.csv.gz	4	3284	14547	448
GOV_bin_398_contig-100_6	GOV_bin_398_contig-100_6.windows.csv.gz	0	0	11852	1187
GOV_bin_401_contig-100_0	GOV_bin_401_contig-100_0.windows.csv.gz	3	2141	15611	1509
GOV_bin_401_contig-100_1	GOV_bin_401_contig-100_1.windows.csv.gz	1	523	10835	943
GOV_bin_4028_contig-100_10	GOV_bin_4028_contig-100_10.windows.csv.gz	2	3242	10393	1588
GOV_bin_4031_contig-100_0	GOV_bin_4031_contig-100_0.windows.csv.gz	1	271	12114	632
GOV_bin_40331_contig-100_4	GOV_bin_40331_contig-100_4.windows.csv.gz	4	1218	13435	14875
GOV_bin_40331_contig-100_6	GOV_bin_40331_contig-100_6.windows.csv.gz	4	2594	10898	14168
GOV_bin_4068_contig-100_1	GOV_bin_4068_contig-100_1.windows.csv.gz	5	2321	14161	738
GOV_bin_4078_contig-100_0	GOV_bin_4078_contig-100_0.windows.csv.gz	5	4385	12533	6994
GOV_bin_4091_contig-100_8	GOV_bin_4091_contig-100_8.windows.csv.gz	8	4010	13488	3890
GOV_bin_4097_contig-100_0	GOV_bin_4097_contig-100_0.windows.csv.gz	3	1195	10602	583
GOV_bin_4100_contig-100_1	GOV_bin_4100_contig-100_1.windows.csv.gz	3	3118	12115	1119
GOV_bin_4163_contig-100_0	GOV_bin_4163_contig-100_0.windows.csv.gz	11	8105	28263	2372
GOV_bin_4185_contig-100_0	GOV_bin_4185_contig-100_0.windows.csv.gz	2	2048	12687	559
GOV_bin_4204_contig-100_0	GOV_bin_4204_contig-100_0.windows.csv.gz	15	11511	65539	14218
GOV_bin_4204_contig-100_1	GOV_bin_4204_contig-100_1.windows.csv.gz	8	8184	33666	2616
GOV_bin_4204_contig-100_2	GOV_bin_4204_contig-100_2.windows.csv.gz	0	0	12302	2548
GOV_bin_4206_contig-100_0	GOV_bin_4206_contig-100_0.windows.csv.gz	29	27178	84690	3904
GOV_bin_4211_contig-100_0	GOV_bin_4211_contig-100_0.windows.csv.gz	8	4959	23239	2923
GOV_bin_4249_contig-100_4	GOV_bin_4249_contig-100_4.windows.csv.gz	5	2429	10768	402
GOV_bin_4268_contig-100_1	GOV_bin_4268_contig-100_1.windows.csv.gz	1	593	11064	1472
GOV_bin_4268_contig-100_2	GOV_bin_4268_contig-100_2.windows.csv.gz	0	0	11036	1334
GOV_bin_4318_contig-100_2	GOV_bin_4318_contig-100_2.windows.csv.gz	4	2983	19922	2226
GOV_bin_43251_contig-100_1	GOV_bin_43251_contig-100_1.windows.csv.gz	23	17972	56409	10047
GOV_bin_43251_contig-100_4	GOV_bin_43251_contig-100_4.windows.csv.gz	5	4007	15199	1821
GOV_bin_43251_contig-100_5	GOV_bin_43251_contig-100_5.windows.csv.gz	3	3377	13313	1240
GOV_bin_43251_contig-100_6	GOV_bin_43251_contig-100_6.windows.csv.gz	3	2034	10604	1520
GOV_bin_4340_contig-100_1	GOV_bin_4340_contig-100_1.windows.csv.gz	1	1033	10676	382
GOV_bin_4344_contig-100_3	GOV_bin_4344_contig-100_3.windows.csv.gz	4	3070	17341	1115
GOV_bin_4347_contig-100_1	GOV_bin_4347_contig-100_1.windows.csv.gz	3	1631	14375	898
GOV_bin_4365_contig-100_3	GOV_bin_4365_contig-100_3.windows.csv.gz	2	643	10575	989
GOV_bin_4390_contig-100_9	GOV_bin_4390_contig-100_9.windows.csv.gz	1	335	10096	581
GOV_bin_4406_contig-100_0	GOV_bin_4406_contig-100_0.windows.csv.gz	4	3121	24085	684
GOV_bin_4406_contig-100_1	GOV_bin_4406_contig-100_1.windows.csv.gz	1	157	11942	1782
GOV_bin_4429_contig-100_0	GOV_bin_4429_contig-100_0.windows.csv.gz	4	2491	12570	493
GOV_bin_4474_contig-100_0	GOV_bin_4474_contig-100_0.windows.csv.gz	11	8878	28570	2730
GOV_bin_4474_contig-100_2	GOV_bin_4474_contig-100_2.windows.csv.gz	6	3622	12450	1641
GOV_bin_4507_contig-100_0	GOV_bin_4507_contig-100_0.windows.csv.gz	8	7965	24760	5310
GOV_bin_4507_contig-100_1	GOV_bin_4507_contig-100_1.windows.csv.gz	4	3482	11264	1348
GOV_bin_4530_contig-100_0	GOV_bin_4530_contig-100_0.windows.csv.gz	2	786	17827	927
GOV_bin_4550_contig-100_0	GOV_bin_4550_contig-100_0.windows.csv.gz	3	6164	14242	2816
GOV_bin_4560_contig-100_0	GOV_bin_4560_contig-100_0.windows.csv.gz	6	3151	34286	3363
GOV_bin_4560_contig-100_1	GOV_bin_4560_contig-100_1.windows.csv.gz	8	6250	23810	3181
GOV_bin_4560_contig-100_3	GOV_bin_4560_contig-100_3.windows.csv.gz	2	750	15430	2387
GOV_bin_4560_contig-100_6	GOV_bin_4560_contig-100_6.windows.csv.gz	0	0	12518	2106
